id	measurementType	measurementValue	measurementUnit
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A1_2004	Percentage cover	31	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A1_2004	Percentage cover	27	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A1_2004	Percentage cover	4	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A1_2004	Percentage cover	2	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A1_2004	Percentage cover	8	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A1_2004	Percentage cover	7	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A2_2004	Percentage cover	9	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A2_2004	Percentage cover	7	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A2_2004	Percentage cover	14	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A2_2004	Percentage cover	37	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A2_2004	Percentage cover	0	dimensionless
BR:ReefSYN:RonaldoFranciniFilho-AbrolhosBank:BrazilianCoast:ITACOLOMIS_A2_2004	Percentage cover	0	dimensionless
